postcode, woonplaats, gemeente, provincie, breedtegraad, lengtegraad
1041, Amsterdam, Amsterdam, Noord-Holland, 52.4143153, 4.8398143
1042, Amsterdam, Amsterdam, Noord-Holland, 52.4042534, 4.8247678
1043, Amsterdam, Amsterdam, Noord-Holland, 52.3886232, 4.8154024
1044, Amsterdam, Amsterdam, Noord-Holland, 52.4047907, 4.8115803
1045, Amsterdam, Amsterdam, Noord-Holland, 52.4189802, 4.7908055
1046, Amsterdam, Amsterdam, Noord-Holland, 52.3899603, 4.7824601
1047, Amsterdam, Amsterdam, Noord-Holland, 52.4099722, 4.7494287
1051, Amsterdam, Amsterdam, Noord-Holland, 52.3797728, 4.8686235
1052, Amsterdam, Amsterdam, Noord-Holland, 52.3768523, 4.87475
1053, Amsterdam, Amsterdam, Noord-Holland, 52.3663937, 4.8695863
1054, Amsterdam, Amsterdam, Noord-Holland, 52.3612327, 4.8653587
1055, Amsterdam, Amsterdam, Noord-Holland, 52.3817073, 4.8540225
1056, Amsterdam, Amsterdam, Noord-Holland, 52.3723685, 4.854042
1057, Amsterdam, Amsterdam, Noord-Holland, 52.3670713, 4.8531117
1058, Amsterdam, Amsterdam, Noord-Holland, 52.3605178, 4.8503025
1059, Amsterdam, Amsterdam, Noord-Holland, 52.3460212, 4.8461017
1060, Amsterdam, Amsterdam, Noord-Holland, 52.3470443, 4.7882876
1061, Amsterdam, Amsterdam, Noord-Holland, 52.3730438, 4.837568
1062, Amsterdam, Amsterdam, Noord-Holland, 52.3517216, 4.8371533
1063, Amsterdam, Amsterdam, Noord-Holland, 52.3815295, 4.825779
1064, Amsterdam, Amsterdam, Noord-Holland, 52.3724594, 4.8192201
1065, Amsterdam, Amsterdam, Noord-Holland, 52.3560303, 4.8296176
1066, Amsterdam, Amsterdam, Noord-Holland, 52.3431932, 4.817434
1067, Amsterdam, Amsterdam, Noord-Holland, 52.3765795, 4.7834602
1068, Amsterdam, Amsterdam, Noord-Holland, 52.3624004, 4.8042058
1069, Amsterdam, Amsterdam, Noord-Holland, 52.3576375, 4.7901227
1070, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1071, Amsterdam, Amsterdam, Noord-Holland, 52.3538654, 4.8823114
1072, Amsterdam, Amsterdam, Noord-Holland, 52.3522009, 4.8903141
1073, Amsterdam, Amsterdam, Noord-Holland, 52.351928, 4.896904
1074, Amsterdam, Amsterdam, Noord-Holland, 52.351518, 4.90679
1075, Amsterdam, Amsterdam, Noord-Holland, 52.3534239, 4.860667
1076, Amsterdam, Amsterdam, Noord-Holland, 52.3440889, 4.860684
1077, Amsterdam, Amsterdam, Noord-Holland, 52.3435465, 4.8738549
1078, Amsterdam, Amsterdam, Noord-Holland, 52.3441217, 4.8922031
1079, Amsterdam, Amsterdam, Noord-Holland, 52.3421834, 4.9067927
1080, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1081, Amsterdam, Amsterdam, Noord-Holland, 52.3337697, 4.8522405
1082, Amsterdam, Amsterdam, Noord-Holland, 52.3314299, 4.8766928
1083, Amsterdam, Amsterdam, Noord-Holland, 52.3268472, 4.8908053
1086, Amsterdam, Amsterdam, Noord-Holland, 52.3617208, 4.981714
1087, Amsterdam, Amsterdam, Noord-Holland, 52.3555895, 5.0005613
1090, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1091, Amsterdam, Amsterdam, Noord-Holland, 52.3565396, 4.9143228
1092, Amsterdam, Amsterdam, Noord-Holland, 52.358913, 4.9213875
1093, Amsterdam, Amsterdam, Noord-Holland, 52.3612861, 4.9284541
1094, Amsterdam, Amsterdam, Noord-Holland, 52.3636588, 4.9355226
1095, Amsterdam, Amsterdam, Noord-Holland, 52.3614375, 4.9567275
1096, Amsterdam, Amsterdam, Noord-Holland, 52.3363412, 4.9190299
1097, Amsterdam, Amsterdam, Noord-Holland, 52.3463803, 4.9340988
1098, Amsterdam, Amsterdam, Noord-Holland, 52.3511236, 4.9482332
1099, Amsterdam, Amsterdam, Noord-Holland, 52.3295182, 4.9227935
1100, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.3768632, 4.8200283
1101, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.3087775, 4.9406597
1102, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.3135175, 4.9547795
1103, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.3235484, 4.9698582
1104, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.3164474, 4.9802023
1105, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.2920769, 4.9575717
1106, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.3007124, 4.9740506
1107, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.2912462, 4.9773243
1108, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.3065615, 4.9933607
1109, Amsterdam-Zuidoost, Amsterdam, Noord-Holland, 52.3110148, 5.0140928
1110, Diemen, Diemen, Noord-Holland, 52.3331508, 4.9551377
1111, Diemen, Diemen, Noord-Holland, 52.3391499, 4.9793091
1112, Diemen, Diemen, Noord-Holland, 52.3277285, 4.997185
1113, Diemen, Diemen, Noord-Holland, 52.3455586, 4.9854493
1115, Duivendrecht, Ouder-Amstel, Noord-Holland, 52.332886, 4.9412022
1117, Schiphol, Haarlemmermeer, Noord-Holland, 52.3052778, 4.7992528
1118, Luchthaven Schiphol, Haarlemmermeer, Noord-Holland, 52.3105386, 4.7682744
1119, Schiphol-Rijk, Haarlemmermeer, Noord-Holland, 52.279722, 4.753889
1120, Landsmeer, Landsmeer, Noord-Holland, 52.4324284, 4.9150708
1121, Landsmeer, Landsmeer, Noord-Holland, 52.4295674, 4.9138121
1127, Den Ilp, Landsmeer, Noord-Holland, 52.454533, 4.9073219
1130, Volendam, Edam-Volendam, Noord-Holland, 52.5180914, 5.0024565
1131, Volendam, Edam-Volendam, Noord-Holland, 52.5008954, 5.0687497
1132, Volendam, Edam-Volendam, Noord-Holland, 52.496442, 5.0478618
1135, Edam, Edam-Volendam, Noord-Holland, 52.5126367, 5.0491819
1140, Monnickendam, Waterland, Noord-Holland, 52.4650634, 4.954089
1141, Monnickendam, Waterland, Noord-Holland, 52.4555687, 5.0392316
1145, Katwoude, Waterland, Noord-Holland, 52.4694862, 5.0471278
1150, Broek in Waterland, Waterland, Noord-Holland, 52.4144806, 5.0219082
1151, Broek in Waterland, Waterland, Noord-Holland, 52.4357808, 4.9913157
1153, Zuiderwoude, Waterland, Noord-Holland, 52.4321039, 5.033652
1154, Uitdam, Waterland, Noord-Holland, 52.4210268, 5.0724962
1156, Marken, Waterland, Noord-Holland, 52.4589926, 5.1032057
1160, Zwanenburg, Haarlemmermeer, Noord-Holland, 52.0370724, 5.0887879
1161, Zwanenburg, Haarlemmermeer, Noord-Holland, 52.380918, 4.7380998
1165, Halfweg, Haarlemmerliede en Spaarnwoude, Noord-Holland, 52.3819918, 4.7538293
1170, Badhoevedorp, Haarlemmermeer, Noord-Holland, 52.337248, 4.7798711
1171, Badhoevedorp, Haarlemmermeer, Noord-Holland, 52.333333, 4.783333
1175, Lijnden, Haarlemmermeer, Noord-Holland, 52.3538766, 4.7544953
1180, Amstelveen, Amstelveen, Noord-Holland, 52.3020525, 4.8448473
1181, Amstelveen, Amstelveen, Noord-Holland, 52.3120541, 4.8616808
1182, Amstelveen, Amstelveen, Noord-Holland, 52.3209392, 4.8400512
1183, Amstelveen, Amstelveen, Noord-Holland, 52.3109682, 4.8879974
1184, Amstelveen, Amstelveen, Noord-Holland, 52.2987208, 4.8941157
1185, Amstelveen, Amstelveen, Noord-Holland, 52.2911562, 4.8513884
1186, Amstelveen, Amstelveen, Noord-Holland, 52.2875635, 4.8739291
1187, Amstelveen, Amstelveen, Noord-Holland, 52.2685581, 4.8176705
1188, Amstelveen, Amstelveen, Noord-Holland, 52.2669445, 4.8570657
1189, Amstelveen, Amstelveen, Noord-Holland, 52.2603518, 4.8716177
1190, Ouderkerk aan de Amstel, Ouder-Amstel, Noord-Holland, 52.2954563, 4.9023305
1191, Ouderkerk aan de Amstel, Ouder-Amstel, Noord-Holland, 52.2947295, 4.915337
1200, Hilversum, Hilversum, Noord-Holland, 52.2292024, 5.1693338
1201, Hilversum, Hilversum, Noord-Holland, 52.2292024, 5.1693338
1202, Hilversum, Hilversum, Noord-Holland, 52.2292024, 5.1693338
1211, Hilversum, Hilversum, Noord-Holland, 52.2240304, 5.1774603
1212, Hilversum, Hilversum, Noord-Holland, 52.2166311, 5.1943467
1213, Hilversum, Hilversum, Noord-Holland, 52.1951262, 5.168736
1214, Hilversum, Hilversum, Noord-Holland, 52.2137547, 5.168896
1215, Hilversum, Hilversum, Noord-Holland, 52.2129385, 5.1571228
1216, Hilversum, Hilversum, Noord-Holland, 52.2201883, 5.143533
1217, Hilversum, Hilversum, Noord-Holland, 52.2435328, 5.1578439
1218, Hilversum, Hilversum, Noord-Holland, 52.2741839, 5.1269788
1221, Hilversum, Hilversum, Noord-Holland, 52.2276307, 5.1864416
1222, Hilversum, Hilversum, Noord-Holland, 52.2504485, 5.1824071
1223, Hilversum, Hilversum, Noord-Holland, 52.2284437, 5.198227
1230, Loosdrecht, Wijdemeren, Noord-Holland, 52.20618, 5.06697
1231, Loosdrecht, Wijdemeren, Noord-Holland, 52.216667, 5.066667
1240, Kortenhoef, Wijdemeren, Noord-Holland, 52.2397632, 5.1132094
1241, Kortenhoef, Wijdemeren, Noord-Holland, 52.2299147, 5.09164
1243, 's-Graveland, Wijdemeren, Noord-Holland, 52.244167, 5.121111
1244, Ankeveen, Wijdemeren, Noord-Holland, 52.2642195, 5.098253
1250, Laren, Laren, Noord-Holland, 52.255712, 5.2293702
1251, Laren, Laren, Noord-Holland, 52.2517832, 5.2125964
1252, Laren, Laren, Noord-Holland, 52.2457888, 5.235175
1260, Blaricum, Blaricum, Noord-Holland, 52.2857057, 5.2697832
1261, Blaricum, Blaricum, Noord-Holland, 52.2726695, 5.2480795
1270, Huizen, Huizen, Noord-Holland, 52.2974955, 5.2351132
1271, Huizen, Huizen, Noord-Holland, 52.30127, 5.2386032
1272, Huizen, Huizen, Noord-Holland, 52.2834964, 5.2185774
1273, Huizen, Huizen, Noord-Holland, 52.3003881, 5.258446
1274, Huizen, Huizen, Noord-Holland, 52.2997981, 5.2716775
1275, Huizen, Huizen, Noord-Holland, 52.2909146, 5.2616463
1276, Huizen, Huizen, Noord-Holland, 52.290108, 5.2498227
1277, Huizen, Huizen, Noord-Holland, 52.2960871, 5.2801443
1300, Almere, Almere, Flevoland, 52.3481373, 5.2474067
1301, Almere, Almere, Flevoland, 52.3481373, 5.2474067
1302, Almere, Almere, Flevoland, 52.3481373, 5.2474067
1303, Almere, Almere, Flevoland, 52.3481373, 5.2474067
1305, Almere, Almere, Flevoland, 52.3481373, 5.2474067
1309, Almere, Almere, Flevoland, 52.3827943, 5.143826
1311, Almere, Almere, Flevoland, 52.3667171, 5.1758701
1312, Almere, Almere, Flevoland, 52.3726804, 5.1920131
1313, Almere, Almere, Flevoland, 52.3843738, 5.1992227
1314, Almere, Almere, Flevoland, 52.3811428, 5.2119796
1315, Almere, Almere, Flevoland, 52.3701165, 5.2199218
1316, Almere, Almere, Flevoland, 52.4010719, 5.2140692
1317, Almere, Almere, Flevoland, 52.3908526, 5.2338726
1318, Almere, Almere, Flevoland, 52.3862199, 5.2480427
1319, Almere, Almere, Flevoland, 52.3916477, 5.1855545
1320, Almere, Almere, Flevoland, 52.3481373, 5.2474067
1321, Almere, Almere, Flevoland, 52.3570914, 5.1824098
1322, Almere, Almere, Flevoland, 52.3477572, 5.1823276
1323, Almere, Almere, Flevoland, 52.3658452, 5.195737
1324, Almere, Almere, Flevoland, 52.360927, 5.216516
1325, Almere, Almere, Flevoland, 52.3653403, 5.2373944
1326, Almere, Almere, Flevoland, 52.3700447, 5.251656
1327, Almere, Almere, Flevoland, 52.3579157, 5.2543634
1328, Almere, Almere, Flevoland, 52.3747475, 5.2659253
1329, Almere, Almere, Flevoland, 52.3701119, 5.2800904
1331, Almere, Almere, Flevoland, 52.4226973, 5.2683756
1332, Almere, Almere, Flevoland, 52.4129905, 5.2464368
1333, Almere, Almere, Flevoland, 52.3962187, 5.2633268
1334, Almere, Almere, Flevoland, 52.3942291, 5.2780076
1335, Almere, Almere, Flevoland, 52.4056228, 5.2919064
1336, Almere, Almere, Flevoland, 52.4044301, 5.3184769
1338, Almere, Almere, Flevoland, 52.3847421, 5.2812143
1339, Almere, Almere, Flevoland, 52.3947359, 5.296517
1341, Almere, Almere, Flevoland, 52.3576857, 5.2894181
1343, Almere, Almere, Flevoland, 52.3409213, 5.306264
1349, Almere, Almere, Flevoland, 52.3316433, 5.3345674
1351, Almere, Almere, Flevoland, 52.3500501, 5.2211402
1352, Almere, Almere, Flevoland, 52.3438011, 5.2116153
1353, Almere, Almere, Flevoland, 52.3358645, 5.2101188
1354, Almere, Almere, Flevoland, 52.3382178, 5.2172366
1355, Almere, Almere, Flevoland, 52.3429232, 5.2314778
1356, Almere, Almere, Flevoland, 52.3398375, 5.2409094
1357, Almere, Almere, Flevoland, 52.3321953, 5.2327849
1358, Almere, Almere, Flevoland, 52.3340259, 5.2815502
1359, Almere, Almere, Flevoland, 52.3409248, 5.1860498
1361, Almere, Almere, Flevoland, 52.3373686, 5.1453745
1362, Almere, Almere, Flevoland, 52.3420835, 5.1595874
1363, Almere, Almere, Flevoland, 52.3532452, 5.1483313
1380, Weesp, Weesp, Noord-Holland, 52.3066153, 5.0432534
1381, Weesp, Weesp, Noord-Holland, 52.3004035, 5.0752974
1382, Weesp, Weesp, Noord-Holland, 52.3154645, 5.0348382
1383, Weesp, Weesp, Noord-Holland, 52.2934588, 5.0507624
1390, Abcoude, Abcoude, Utrecht, 52.2694313, 4.9735943
1391, Abcoude, Abcoude, Utrecht, 52.272071, 4.9704743
1393, Nigtevecht, Loenen, Utrecht, 52.2738533, 5.0285536
1394, Nederhorst den Berg, Wijdemeren, Noord-Holland, 52.2601767, 5.0449932
1396, Baambrugge, Abcoude, Utrecht, 52.2462306, 4.9886094
1398, Muiden, Muiden, Noord-Holland, 52.3286972, 5.0683449
1399, Muiderberg, Muiden, Noord-Holland, 52.3263049, 5.1165375
1400, Bussum, Bussum, Noord-Holland, 52.27475, 5.1679387
1401, Bussum, Bussum, Noord-Holland, 52.2788497, 5.1727538
1402, Bussum, Bussum, Noord-Holland, 52.2707753, 5.1745708
1403, Bussum, Bussum, Noord-Holland, 52.2653446, 5.1768815
1404, Bussum, Bussum, Noord-Holland, 52.2766397, 5.162358
1405, Bussum, Bussum, Noord-Holland, 52.2770721, 5.1524581
1406, Bussum, Bussum, Noord-Holland, 52.2624625, 5.1513993
1410, Naarden, Naarden, Noord-Holland, 52.2857057, 5.2697832
1411, Naarden, Naarden, Noord-Holland, 52.2963957, 5.1677125
1412, Naarden, Naarden, Noord-Holland, 52.287546, 5.1261305
1420, Uithoorn, Uithoorn, Noord-Holland, 52.3474444, 4.9082811
1421, Uithoorn, Uithoorn, Noord-Holland, 52.240457, 4.8210356
1422, Uithoorn, Uithoorn, Noord-Holland, 52.2440878, 4.8299261
1423, Uithoorn, Uithoorn, Noord-Holland, 52.2340482, 4.8149669
1424, De Kwakel, Uithoorn, Noord-Holland, 52.2390773, 4.7939868
1426, De Hoef, De Ronde Venen, Utrecht, 52.2007451, 4.8143176
1427, Amstelhoek, De Ronde Venen, Utrecht, 52.2317442, 4.8349976
1428, Vrouwenakker, Nieuwkoop, Zuid-Holland, 52.213967, 4.7850891
1430, Aalsmeer, Aalsmeer, Noord-Holland, 52.2666259, 4.7510049
1431, Aalsmeer, Aalsmeer, Noord-Holland, 52.2505822, 4.735323
1432, Aalsmeer, Aalsmeer, Noord-Holland, 52.2802074, 4.7932523
1433, Kudelstaart, Aalsmeer, Noord-Holland, 52.2384184, 4.7519489
1435, Rijsenhout, Haarlemmermeer, Noord-Holland, 52.2620371, 4.7127066
1436, Aalsmeerderbrug, Haarlemmermeer, Noord-Holland, 52.2738103, 4.7497732
1437, Rozenburg, Haarlemmermeer, Noord-Holland, 52.2817172, 4.7377604
1438, Oude Meer, Haarlemmermeer, Noord-Holland, 52.2899333, 4.7833671
1440, Purmerend, Purmerend, Noord-Holland, 52.4941495, 4.9275193
1441, Purmerend, Purmerend, Noord-Holland, 52.5003668, 4.9550027
1442, Purmerend, Purmerend, Noord-Holland, 52.5146124, 4.9659138
1443, Purmerend, Purmerend, Noord-Holland, 52.5090271, 4.9715908
1444, Purmerend, Purmerend, Noord-Holland, 52.521316, 4.9654491
1445, Purmerend, Purmerend, Noord-Holland, 52.4989741, 4.9881531
1446, Purmerend, Purmerend, Noord-Holland, 52.5168451, 5.0081027
1447, Purmerend, Purmerend, Noord-Holland, 52.4861298, 4.975815
1448, Purmerend, Purmerend, Noord-Holland, 52.4958915, 4.9341712
1451, Purmerland, Landsmeer, Noord-Holland, 52.4814429, 4.925769
1452, Ilpendam, Waterland, Noord-Holland, 52.4631783, 4.9513713
1454, Watergang, Waterland, Noord-Holland, 52.4398855, 4.9521153
1456, Wijdewormer, Wormerland, Noord-Holland, 52.4873869, 4.8597355
1458, Spijkerboor, Wormerland, Noord-Holland, 52.5383425, 4.8322711
1461, Zuidoostbeemster, Beemster, Noord-Holland, 52.5151991, 4.9421222
1462, Middenbeemster, Beemster, Noord-Holland, 52.5481066, 4.9109338
1463, Noordbeemster, Beemster, Noord-Holland, 52.5797174, 4.9322059
1464, Westbeemster, Beemster, Noord-Holland, 52.5752469, 4.8995178
1471, Kwadijk, Zeevang, Noord-Holland, 52.527382, 4.9837605
1472, Middelie, Zeevang, Noord-Holland, 52.5355665, 5.0158893
1473, Warder, Zeevang, Noord-Holland, 52.5635314, 5.0324222
1474, Oosthuizen, Zeevang, Noord-Holland, 52.5739553, 4.9975843
1475, Beets, Zeevang, Noord-Holland, 52.5887299, 4.978728
1476, Schardam, Zeevang, Noord-Holland, 52.5950121, 5.0174519
1477, Hobrede, Zeevang, Noord-Holland, 52.5446616, 4.9802415
1481, Purmer, Waterland, Noord-Holland, 52.5028767, 5.0222838
1482, Purmer, Waterland, Noord-Holland, 52.4744038, 5.0004082
1483, De Rijp, Graft-De Rijp, Noord-Holland, 52.5563611, 4.8468049
1484, Graft, Graft-De Rijp, Noord-Holland, 52.5622696, 4.832044
1485, Noordeinde, Graft-De Rijp, Noord-Holland, 52.5713907, 4.8356906
1486, West-Graftdijk, Graft-De Rijp, Noord-Holland, 52.5542536, 4.7950025
1487, Oost-Graftdijk, Graft-De Rijp, Noord-Holland, 52.5451072, 4.8138621
1488, Starnmeer, Graft-De Rijp, Noord-Holland, 52.541944, 4.793333
1489, De Woude, Castricum, Noord-Holland, 52.5469212, 4.7757441
1500, Zaandam, Zaanstad, Noord-Holland, 52.4204677, 4.8313093
1501, Zaandam, Zaanstad, Noord-Holland, 52.4373198, 4.8322084
1502, Zaandam, Zaanstad, Noord-Holland, 52.4481955, 4.8274597
1503, Zaandam, Zaanstad, Noord-Holland, 52.4463974, 4.8387858
1504, Zaandam, Zaanstad, Noord-Holland, 52.435251, 4.8501344
1505, Zaandam, Zaanstad, Noord-Holland, 52.4246472, 4.8482729
1506, Zaandam, Zaanstad, Noord-Holland, 52.4419029, 4.8180484
1507, Zaandam, Zaanstad, Noord-Holland, 52.4371368, 4.8039234
1508, Zaandam, Zaanstad, Noord-Holland, 52.4578139, 4.8208248
1509, Zaandam, Zaanstad, Noord-Holland, 52.4709411, 4.826445
1510, Oostzaan, Oostzaan, Noord-Holland, 52.4409764, 4.8751529
1511, Oostzaan, Oostzaan, Noord-Holland, 52.4404972, 4.8757219
1520, Wormerveer, Zaanstad, Noord-Holland, 52.4906967, 4.8013431
1521, Wormerveer, Zaanstad, Noord-Holland, 52.4903502, 4.7980674
1525, Westknollendam, Wormerland, Noord-Holland, 52.5178843, 4.7866064
1530, Wormer, Wormerland, Noord-Holland, 52.4906967, 4.8013431
1531, Wormer, Wormerland, Noord-Holland, 52.4986623, 4.8124621
1534, Oostknollendam, Wormerland, Noord-Holland, 52.5166916, 4.7906888
1536, Markenbinnen, Graft-De Rijp, Noord-Holland, 52.5302023, 4.7812856
1540, Koog aan de Zaan, Zaanstad, Noord-Holland, 52.4681691, 4.8078729
1541, Koog aan de Zaan, Zaanstad, Noord-Holland, 52.4607871, 4.8047292
1544, Zaandijk, Zaanstad, Noord-Holland, 52.4740433, 4.8028179
1546, Jisp, Wormerland, Noord-Holland, 52.5078271, 4.8483414
1550, Westzaan, Zaanstad, Noord-Holland, 52.4989308, 4.8004434
1551, Westzaan, Zaanstad, Noord-Holland, 52.4642168, 4.7719876
1560, Krommenie, Zaanstad, Noord-Holland, 52.4989308, 4.8004434
1561, Krommenie, Zaanstad, Noord-Holland, 52.4973656, 4.7678077
1562, Krommenie, Zaanstad, Noord-Holland, 52.508514, 4.7564197
1566, Assendelft, Zaanstad, Noord-Holland, 52.4691062, 4.7396672
1567, Assendelft, Zaanstad, Noord-Holland, 52.4888077, 4.7480377
1600, Enkhuizen, Enkhuizen, Noord-Holland, 52.7040983, 5.2948557
1601, Enkhuizen, Enkhuizen, Noord-Holland, 52.7004492, 5.2811161
1602, Enkhuizen, Enkhuizen, Noord-Holland, 52.7195107, 5.2746228
1606, Venhuizen, Drechterland, Noord-Holland, 52.6646778, 5.2065474
1607, Hem, Drechterland, Noord-Holland, 52.661111, 5.183056
1608, Wijdenes, Drechterland, Noord-Holland, 52.6364914, 5.157782
1609, Oosterleek, Drechterland, Noord-Holland, 52.6389783, 5.1971095
1610, Bovenkarspel, Stede Broec, Noord-Holland, 52.3878721, 4.9500197
1611, Bovenkarspel, Stede Broec, Noord-Holland, 52.6984453, 5.2496041
1613, Grootebroek, Stede Broec, Noord-Holland, 52.6982227, 5.2229184
1614, Lutjebroek, Stede Broec, Noord-Holland, 52.6983506, 5.2057581
1616, Hoogkarspel, Drechterland, Noord-Holland, 52.6925934, 5.1652989
1617, Westwoud, Drechterland, Noord-Holland, 52.6849913, 5.1342075
1619, Andijk, Andijk, Noord-Holland, 52.7454906, 5.2208756
1620, Hoorn, Hoorn, Noord-Holland, 52.6467478, 5.0469633
1621, Hoorn, Hoorn, Noord-Holland, 52.6388396, 5.0655858
1622, Hoorn, Hoorn, Noord-Holland, 52.6376026, 5.0317573
1623, Hoorn, Hoorn, Noord-Holland, 52.6438695, 5.0732345
1624, Hoorn, Hoorn, Noord-Holland, 52.6472404, 5.0570439
1625, Hoorn, Hoorn, Noord-Holland, 52.6566152, 5.057083
1627, Hoorn, Hoorn, Noord-Holland, 52.6400661, 5.0994358
1628, Hoorn, Hoorn, Noord-Holland, 52.6498702, 5.089475
1631, Oudendijk, Koggenland, Noord-Holland, 52.6010281, 4.966909
1633, Avenhorn, Koggenland, Noord-Holland, 52.6194727, 4.9527342
1634, Scharwoude, Koggenland, Noord-Holland, 52.6221832, 5.0124124
1636, Schermerhorn, Schermer, Noord-Holland, 52.6005503, 4.8897767
1641, Spierdijk, Koggenland, Noord-Holland, 52.6454451, 4.9408649
1642, Spierdijk, Koggenland, Noord-Holland, 52.654403, 4.9508603
1643, Spierdijk, Koggenland, Noord-Holland, 52.6616759, 4.9370628
1645, Ursem, Koggenland, Noord-Holland, 52.627698, 4.891242
1646, Ursem, Koggenland, Noord-Holland, 52.6213428, 4.8762533
1647, Berkhout, Koggenland, Noord-Holland, 52.6404363, 4.9985175
1648, De Goorn, Koggenland, Noord-Holland, 52.6275324, 4.9449451
1652, Zuidermeer, Koggenland, Noord-Holland, 52.6644734, 4.9761474
1654, Benningbroek, Medemblik, Noord-Holland, 52.7042382, 5.0135027
1655, Sijbekarspel, Medemblik, Noord-Holland, 52.7121865, 4.9764999
1657, Abbekerk, Medemblik, Noord-Holland, 52.7316774, 5.0170886
1658, Lambertschaag, Medemblik, Noord-Holland, 52.7482137, 5.0149131
1661, De Weere, Opmeer, Noord-Holland, 52.7350522, 4.9771557
1662, De Weere, Opmeer, Noord-Holland, 52.7238448, 4.9885935
1663, De Weere, Opmeer, Noord-Holland, 52.7200612, 4.9988477
1670, Medemblik, Medemblik, Noord-Holland, 52.7739543, 5.1063209
1671, Medemblik, Medemblik, Noord-Holland, 52.7674467, 5.1069179
1674, Opperdoes, Medemblik, Noord-Holland, 52.7602994, 5.0765027
1676, Twisk, Medemblik, Noord-Holland, 52.7413549, 5.0563358
1678, Oostwoud, Medemblik, Noord-Holland, 52.7252238, 5.0905909
1679, Midwoud, Medemblik, Noord-Holland, 52.712653, 5.0703139
1681, Zwaagdijk, Wervershoof, Noord-Holland, 52.7060522, 5.1538239
1682, Zwaagdijk, Wervershoof, Noord-Holland, 52.6985539, 5.1102716
1683, Zwaagdijk, Wervershoof, Noord-Holland, 52.7070565, 5.1384079
1684, Zwaagdijk, Wervershoof, Noord-Holland, 52.6918332, 5.1107099
